Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Mois de Mars - Mai (Week-end);Froid;63,4;59,5;58,8;61,3;60,5;58,3;58,0;57,7;59,2;60,1;61,0;63,0;63,7;66,9;66,7;66,6;66,0;65,8;66,4;68,7;71,4;69,0;66,2;64,9
Mois de Mars - Mai (Week-end);Audiovisuel;30,9;20,2;15,7;15,2;13,7;13,5;13,9;17,0;23,8;30,7;33,9;35,0;39,1;44,3;43,4;42,1;41,9;44,4;50,4;60,0;66,4;70,4;64,0;45,1
Mois de Mars - Mai (Week-end);Informatique/Bureautique;21,8;20,0;19,1;19,8;18,6;18,1;17,9;18,2;18,9;20,3;21,6;21,8;21,7;22,8;24,6;25,2;24,5;24,9;25,5;26,4;27,1;26,9;26,3;24,3
Mois de Mars - Mai (Week-end);Lavage séchage;39,7;25,5;28,4;21,5;22,2;16,7;10,6;10,4;23,7;62,4;80,7;74,6;75,4;73,1;81,2;71,8;56,7;46,7;52,7;53,3;50,0;49,9;38,9;38,3
Mois de Mars - Mai (Week-end);Cuisson;6,4;6,0;7,3;5,1;5,3;4,9;8,2;19,0;33,3;41,8;45,2;66,6;125,5;98,2;45,2;31,3;28,7;35,4;55,6;114,0;104,6;56,9;18,3;10,3
Mois de Mars - Mai (Week-end);Eclairage;16,2;11,0;8,1;6,0;5,1;4,9;5,9;8,0;11,3;13,2;14,5;14,3;13,6;10,7;10,5;9,7;11,0;12,1;15,9;25,4;33,1;36,9;33,0;23,9
Mois de Mars - Mai (Week-end);Chauffe eau;376,3;235,8;165,4;100,0;86,2;78,6;59,2;22,2;20,7;35,0;44,8;47,8;60,8;68,2;61,6;72,0;44,3;22,7;28,2;35,0;60,9;114,2;228,3;400,3
Mois de Mars - Mai (Week-end);Autres;66,7;61,8;60,4;56,3;56,1;54,6;47,5;47,3;50,4;56,7;67,9;65,4;62,3;61,3;58,1;57,5;62,7;59,3;65,3;70,7;72,7;61,5;58,2;55,4
Mois de Mars - Mai ();Chauffage direct;118,3;113,0;124,4;130,9;147,3;171,5;200,8;218,4;210,5;180,9;170,4;157,9;147,2;135,1;120,1;109,6;111,8;111,1;125,5;136,3;153,0;162,9;149,4;130,0
Mois de Mars - Mai ();Ventilation;12,5;12,6;12,6;12,7;12,7;12,7;12,9;13,1;12,8;12,7;12,7;12,7;12,7;12,7;12,7;12,8;13,0;13,1;13,0;13,0;13,0;12,8;12,7;12,6
Mois de Mars - Mai ();Froid;63,3;60,4;59,4;59,5;59,3;58,0;57,1;58,4;58,6;59,8;60,4;60,2;62,6;65,3;63,8;64,0;64,4;64,5;65,0;68,0;70,7;68,0;65,1;63,6
Mois de Mars - Mai ();Audiovisuel;27,7;19,1;15,8;14,6;13,8;14,4;15,0;19,0;23,4;26,1;27,2;28,5;35,9;42,3;37,3;35,6;36,2;39,7;47,5;59,4;67,1;72,4;64,3;44,2
Mois de Mars - Mai ();Informatique/Bureautique;21,8;20,4;19,7;19,5;18,6;18,3;18,3;19,0;19,7;21,2;22,8;22,8;22,6;23,2;24,9;25,9;25,8;26,0;26,7;27,9;28,0;27,9;27,2;25,1
Mois de Mars - Mai ();Lavage séchage;36,8;27,5;24,7;18,6;19,5;13,5;9,4;16,7;34,4;52,2;57,1;53,5;52,1;57,5;59,1;46,4;38,0;34,9;37,3;42,2;45,8;45,7;31,8;34,8
Mois de Mars - Mai ();Cuisson;6,4;6,0;6,7;5,2;5,4;6,8;16,0;28,7;30,9;31,8;29,4;46,2;100,4;71,4;31,7;23,2;25,3;32,3;60,8;131,1;113,0;49,2;16,2;9,6
Mois de Mars - Mai ();Eclairage;13,5;9,0;6,6;5,2;4,5;5,6;8,9;14,8;12,5;11,2;11,6;10,8;10,1;9,3;9,0;9,1;9,8;11,3;16,1;26,4;33,1;36,0;31,8;22,8
Mois de Mars - Mai ();Chauffe eau;392,7;241,3;171,7;107,2;89,8;92,2;73,3;33,3;29,6;33,3;35,9;33,2;48,9;55,6;45,8;51,5;33,7;16,2;22,2;36,9;61,6;112,4;227,0;400,3
Mois de Mars - Mai ();Autres;65,6;60,2;56,5;55,3;54,9;52,7;47,9;48,6;49,1;54,6;59,5;59,3;56,8;53,7;55,1;56,0;58,0;59,3;62,6;66,1;67,8;58,8;57,9;59,7
Mois de Septembre - Novembre (Jours ouvrées);Chauffage direct;85,8;84,4;92,8;98,5;113,0;131,8;144,4;147,7;135,2;119,3;104,7;101,0;99,7;99,4;90,0;80,7;85,3;89,3;101,6;106,8;113,9;132,9;106,0;97,4
Mois de Septembre - Novembre (Jours ouvrées);Ventilation;13,0;13,1;13,1;13,1;13,1;13,0;13,1;13,5;13,3;12,9;13,0;13,0;13,0;13,0;13,0;13,1;13,2;13,5;13,4;13,4;13,4;13,2;13,1;13,0
